STATISTIC,STATISTIC Label,TLIST(M1),Month,C02071V02502,Selected Base Reference Period,UNIT,VALUE
CPM02,Consumer Price Index,192201,1922 January,1,Base July 1914=100,Base = 100,191
CPM02,Consumer Price Index,192201,1922 January,2,Base August 1947=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,3,Base August 1953=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,4,Base November 1968=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,5,Base November 1975=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,6,Base November 1982=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,7,Base November 1989=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,8,Base November 1996=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,9,Base December 2001=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,10,Base December 2006=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,11,Base December 2011=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,12,Base December 2016=100,Base = 100,
CPM02,Consumer Price Index,192201,1922 January,13,Base December 2023=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,1,Base July 1914=100,Base = 100,191
CPM02,Consumer Price Index,192202,1922 February,2,Base August 1947=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,3,Base August 1953=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,4,Base November 1968=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,5,Base November 1975=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,6,Base November 1982=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,7,Base November 1989=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,8,Base November 1996=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,9,Base December 2001=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,10,Base December 2006=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,11,Base December 2011=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,12,Base December 2016=100,Base = 100,
CPM02,Consumer Price Index,192202,1922 February,13,Base December 2023=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,1,Base July 1914=100,Base = 100,191
CPM02,Consumer Price Index,192203,1922 March,2,Base August 1947=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,3,Base August 1953=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,4,Base November 1968=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,5,Base November 1975=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,6,Base November 1982=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,7,Base November 1989=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,8,Base November 1996=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,9,Base December 2001=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,10,Base December 2006=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,11,Base December 2011=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,12,Base December 2016=100,Base = 100,
CPM02,Consumer Price Index,192203,1922 March,13,Base December 2023=100,Base = 100,
CPM02,Consumer Price Index,192204,1922 April,1,Base July 1914=100,Base = 100,191
CPM02,Consumer Price Index,192204,1922 April,2,Base August 1947=100,Base = 100,
CPM02,Consumer Price Index,192204,1922 April,3,Base August 1953=100,Base = 100,
