"STATISTIC","Statistic Label","TLIST(A1)","Year","C01779V03424","Commodity Group","UNIT","VALUE"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","-","All items","Base Dec 2023=100","12.3"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1975","1975","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","-","All items","Base Dec 2023=100","14.1"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1976","1976","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","-","All items","Base Dec 2023=100","16"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1977","1977","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","-","All items","Base Dec 2023=100","17.2"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1978","1978","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1979","1979","-","All items","Base Dec 2023=100","19.5"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1979","1979","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
