"STATISTIC","Statistic Label","TLIST(M1)","Month","C02106V02545","Location","UNIT","VALUE"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2016M12","2016 December","-","State","%","100"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2016M12","2016 December","1","Urban areas","%","100"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2016M12","2016 December","5","Rural areas","%","100"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M01","2017 January","-","State","%","99.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M01","2017 January","1","Urban areas","%","99.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M01","2017 January","5","Rural areas","%","99.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M02","2017 February","-","State","%","100.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M02","2017 February","1","Urban areas","%","100.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M02","2017 February","5","Rural areas","%","100.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M03","2017 March","-","State","%","100.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M03","2017 March","1","Urban areas","%","100.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M03","2017 March","5","Rural areas","%","100.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M04","2017 April","-","State","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M04","2017 April","1","Urban areas","%","101.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M04","2017 April","5","Rural areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M05","2017 May","-","State","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M05","2017 May","1","Urban areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M05","2017 May","5","Rural areas","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M06","2017 June","-","State","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M06","2017 June","1","Urban areas","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M06","2017 June","5","Rural areas","%","100.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M07","2017 July","-","State","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M07","2017 July","1","Urban areas","%","101.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M07","2017 July","5","Rural areas","%","100.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M08","2017 August","-","State","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M08","2017 August","1","Urban areas","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M08","2017 August","5","Rural areas","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M09","2017 September","-","State","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M09","2017 September","1","Urban areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2017M09","2017 September","5","Rural areas","%","100.4"
